Question,Answer
كم سنة عاش سيدنا محمد صلى الله عليه وسلم ؟,63 سنة
ماذا يسمى صوت الديك ؟,صياح
ما إسم والدة السيد المسيح عليه السلام ؟,السيدة مريم عليها السلام
ما إسم النبيان اللذان رفعهما الله إلى السماء ؟,سيدنا عيسى وإدريس عليهما السلام
ما هي عاصمة روسيا ؟,موسكو
كم يبلغ متوسط دقات قلب الإنسان في الدقيقة ؟,حوالي 72 - 80 دقة في الدقيقة
كم يعادل كوكب زحل كوكبا من الأرض ؟,حوالي 750 كوكب
ما هي عملة مصر ؟,الجنيه
ما هو أكبر وأضخم حيوان في العالم ؟,الحوت الأزرق
كم عدد بنات الرسول صلى الله عليه وسلم ؟,4 بنات
ما هي نوع الموسيقى التي اشتهر بها الزنوج الأمريكيون ؟,الجاز
أين يقع سد مأرب ؟,في اليمن
ما إسم الصحابي الذي أشار للرسول صلى الله عليه وسلم بحفر الخندق ؟,سيدنا سلمان الفارسي
من هو أمير الشعراء ؟,أحمد شوقي
ما إسم العنصر الذي يوجد في جميع المركبات العضوية ؟,الكربون
ما إسم أول كوكب حطت عليه مركبة (باث فيندر) ؟,كوكب المريخ
ما هي عملة الإمارات ؟,الدرهم
كم يبلغ طول جسر الملك فهد ؟,25 كم
ما هو نوع الشجرة الموجودة على العلم اللبناني ؟,شجرة الأرز
ما إسم البلد الوحيد الذي ذكر في القرآن الكريم ؟,مصر
ما هي عملة المملكة العربية السعودية ؟,الريال
أين يقع المسجد الأموي ؟,في دمشق
كم عدد الخلايا السمعية التي توجد في الأذن ؟,100 ألف خلية
ما هي سفينة الصحراء ؟,الجمل
ماذا يسمى بيت العصفور ؟,عش
ما هي عاصمة المغرب ؟,الرباط
ما هو العضو الذي لم يتمكن الأطباء من زرعه حتى الآن ؟,الدماغ
ما هو الإسم الحقيقي للرئيس الجزائري السابق ((هواري بو مدين)) ؟,محمد بو خروبة
من هو الرحالة الذي اكتشف أستراليا ؟,كوك
ما هي عاصمة اليابان ؟,طوكيو
من هو الرحالة الذي اكتشف نيوزلندا ؟,الهولندي تسمان
ما إسم البلدان اللذان يصل بينهما جسر الملك فهد ؟,السعودية والبحرين
ما هي عملة إسبانيا ؟,البيتزا خاما
كم عدد أجنحة النحلة ؟,4 أجنحة
كم كلية توجد في جسم الإنسان السليم ؟,كليتان
ما إسم المرأة الوحيدة التي ورد ذكرها في القرءان الكريم ؟,السيدة مريم عليها السلام
مما تتكون أنياب الفيل ؟,من العاج
من هو أول من عبر المحيط الأطلسي بالطائرة ؟,تشارليزند نبرع
من أول من أم المسلمين في صلاتهم ؟,مصعب بن عمير
ما هو اسم المدينة التي لقبت بمدينة الشمس ؟,مدينة بعلبك
ما هي السورة الملقبة بعروس القرءان ؟,سورة الرحمن
من هو القائد الذي قاد المسلمين في معركة عين جالوت ؟,سيف الدين قطز
من هو الصحابي الذي تستحي منه الملائكة ؟,سيدنا عثمان بن عفان
ما إسم زوجة الرسول التي توفيت بعده وقبل سائر زوجاته ؟,السيدة زينب بنت جحش
ما إسم أطول آية في القرءان الكريم ؟,آية الدين في سورة البقرة
في أي عهد من عهود الخلفاء الراشدين كانت حروب الردة ؟,في عهد سيدنا أبو بكر الصديق
في أي عهد من عهود الخلفاء الأمويين فتحت الأندلس ؟,في عهد الوليد بن المغيرة
ماذا كان إسم البحر الأحمر قديما ؟,بحر لوط
من هو الخليفة العباسي الذي كان يحج عاما ويغزو عاما ؟,هارون الرشيد
ما إسم الصحابي الذي استضاف الرسول صلى الله عليه وسلم بعد الهجرة إلى يثرب ؟,سيدنا أبو أيوب الأنصاري
ما هو إسم المرأة التي تزوجت 4 من أصحاب الرسول صلى الله عليه السلام وماتوا شهداء ؟,عاتكة بنت زيد
من هو الصحابي الذي خرج مع الرسول صلى الله عليه وسلم إلى الطائف ؟,زيد بن حارثة
في أي بيت من زوجات الرسول توفي هو ؟,في بيت عائشة بنت أبي بكر الصديق
ما إسم آخر غزوة قادها الرسول صلى الله عليه وسلم ؟,غزوة تبوك
ما هو إسم المدينة المنورة قديما ؟,يثرب
من هو زعيم الغابة ؟,الأسد
ما هو إسم المرأة التي حاولت قتل النبي صلى الله عليه وسلم بالسم ؟,زينب بنت الحارثة (( يهودية ))
ما إسم أول مولود في الإسلام ؟,سيدنا عبد الله بن الزبير
في أي عهد من عهود الخلفاء الراشدين كانت معركة القادسية ؟,في عهد سيدنا عمر بن الخطاب
من هو أول من آمن من المدينة المنورة ؟,سيدنا أسعد بن زرارة ؟
ما هي السورة الوحيدة التي تخلو من البسملة ؟,سورة التوبة
من هو مؤسس الدولة الأموية ؟,معاوية بن أبي سفيان
ما هو الإسم الحقيقي للسيدة زينب بنت جحش ؟,برة
من الذي غير إسم السيدة زينب بنت جحش إلى,برة ؟
الرسول صلى الله عليه وسلم,من هي آخر زوجات النبي صلى الله عليه وسلم ؟
السيدة ميمونة بنت الحارث,ماذا يسمى ذكر السلحفاة ؟
الغليم,ما هي السورة التي تكررت فيها البسملة مرتين ؟
سورة النمل,ماذا يسمى صوت الأسد ؟
زائير,من هي المرأة التي كانت بنت نبي وزوجة نبي ؟
هي بنت النبي شعيب وزوجة النبي موسى,عليهما السلام ؟
كم كان عمر الرسول صلى الله عليه وسلم عندما توفيت أمه ؟,6 سنوات
في أي سنة تم فتح مكة ؟,في السنة الثامنة للهجرة
ما إسم النبي الذي صام ثلاثة أيام حتى رزقه الله ولدا ؟,سيدنا زكريا
ما هي المدينة المسماة بقبة الإسلام ؟,مدينة البصرة
من هي زوجة الرسول التي جاءها جبريل عليه السلام يقرؤها السلام من عند الله ؟,السيدة خديجة بنت خويلد
من هو أول شهيد في غزوة بدر الكبرى ؟,عمير بن الوقاص
كم عدد التكبيرات في صلاة الجنازة ؟,4تكبيرات
في أي عام وقعت حادثة الإفك ؟,في السنة السادسة للهجرة
ما هي المدينة التي سميت بالبتراء ؟,مدينة سلع
كم سعرة حرارية في الماء ؟,لاشيء
أين يوجد دماغ الإنسان ؟,في جمجمته
ما الذي يسبب التثاؤب للإنسان ؟,النعاس
أين يوجد اللعاب ؟,في الفم
في أي قارة توجد دولة السويد ؟,في قارة أوروبا ؟
من أول وزير خارجية للمملكة العربية السعودية ؟,فيصل بن عبد العزيز
في أي سنة ميلادية نزلت الرسالة على سيدنا محمد صلى الله عليه وسلم ؟,عام 610 م
كم دقيقة في الساعة ؟,60 دقيقة
ما هو الشاطئ الذي تقع عليه مدينة بيروت ؟,شاطئ البحر المتوسط
من أول وزيرة خارجية تتولى هذا المنصب في العالم ؟,حكمت أبو زيد
على من انتصر العرب في معركة عين جالوت ؟,على المغول
كم دماغا للدودة ؟,11 دماغا
متى أصبحت ألا سكا ولاية تابعة للأمم المتحدة ؟,عام 1912
ماذا يسمى بيت الأسد ؟,عرين
أين يعيش الدب القطبي ؟,القطب الشمالي
ما هي صلة القرابة بين الرسول صلى الله عليه وسلم وعدوه اللدود أبو لهب ؟,عمه
كم يبلغ عدد الصلوات التي فرضها الله في اليوم والليلة ؟,5 صلوات
ما الشيء الذي لا تراه و لكنه أمامك ؟,المستقبل
ما هي الدولة التي ألقت القنبلة الذرية على هيروشيما ؟,الولايات المتحدة الأمريكية
كم سنة استمرت الحرب بين فرنسا وبريطانيا ؟,100 عام
من هي عروس الجنوب؟,سناء محيدلي
مرض ينتج عن قلة الأنسولين في الجسم ؟,السكري
ما الدولة العربية التي وصلت لدور 16 من كأس العالم 1934 ؟,مصر
من هي ملكة سبأ في عهد سيدنا سليمان؟,بلقيس
من الذي وضع علم النحو؟,أبو الأسود الدؤلي
حيوان يعيش في أعماق البحر ولا يتحرك؟,المرجان
ما أقدم عائلة إمبراطورية تحكم منذ660 ق م حتى الآن ؟,العائلة اليابانية
مدينة أوروبية تسمى التلال السبعة؟,رومــــــا
كم تبلغ مساحة جبل طارق؟,6 كم مربع
من هو زوج فاطمة بنت الخطاب ؟,سعيد بن زيد
كم تبلغ مساحة الوطن العربي؟,14 مليون كم مربع
كم تبلغ مساحة الكرة الأرضية؟,510210000 كم مربع
ماذا كانت ديانة الفرس قبيل الإسلام ؟,النار ويسمون المجوس
ماذا يسمى صوت الغراب؟,نعيق
أين توجد جزر الكناري؟,إسبانيا
من الذي اخترع الراديو؟,مدام كوري
من هو مخترع الرادار ؟,نايلو ريونج
ما الطائر المسمى الهيثم الأسفح ؟,الصقر
متى تأسست جامعة الدول العربية ؟,1945 م
ما هو أصل الشاعر عمر الخيام ؟,فارسي
ما عاصمة المغرب ؟,الرباط
ما أكبر الدول العربية إنتاجا للموز؟,الصومال
ما عاصمة الصومال ؟,مقديشو
من مخترع الهاتف ؟,الكسندر غراهام بيل
من هو مخترع التيار الكهربي؟,توماس أديسون
من أول وزير خارجية للمملكة السعودية؟,فيصل بن عبدالعزيز
كم دامت خلافة علي بن أبي طالب؟,5 سنوات
مدينة عربية تعتبر أكثر المدن ازدحاما بالسكان ؟,القاهرة
ما هما الثقلان؟,الإنس والجن
في أي قارة تقع شبه الجزيرة العربية؟,قارة آسيا
ما أطول سورة قرآنية بالآيات ؟,البقرة
متى اندلعت الحرب العالمية الثانية ؟,1939
ما الآية التي أعطيت لقوم ثمود ؟,الناقة
ما هي أكبر بحيرة صناعية في الوطن العربي؟,بحيرة ناصر
من القوم الذين أنزل عليهم المن والسلوى؟,قوم موسى عليه السلام
من القائد الذي قام بثورة ضد الاستعمار الإيطالي في ليبيا؟,عمر المختار
من هو النبي الذي رموه إخوته في البئر؟,سيدنا يوسف
من هي أول امرأة مسلمة ماتت في غزوة بحرية؟,أم مسلمة
أين توجد بحيرة كونستانس ؟,توجد في ألمانيا
كم مدينة في العالم تحمل اسم الإسكندرية ؟,44 مدينة
ما اسم أول جراح قام بأول عملية زرع قلب في العالم ؟,كرسيتيان برنار
من هو أول رئيس للجمهورية السورية ؟,محمد عابد
كم مرة احتلت القدس منذ فجر التاريخ ؟,24 مرة
من هو الإمبراطور الذي قام ببناء سور الصين العظيم ؟,هوانغ تي
موسيقار ألماني له تسع سيفونات والتاسعة هي الأشهر؟,بيت هوفن
في أي عام أقيم مهرجان الجنادرية للثقافة والتراث لأول مرة ؟,سنة 1985
لماذا سمي سيدنا نوح بهذا الإسم ؟,لكثرة نواحه وبكائه
في أي سنة تم صلح الحديبية؟,في السنة السادسة للهجرة
في أي سنة هجرية توفي صلى الله عليه وسلم؟,في السنة11 للهجرة
ما هو أصل أوكسترا ؟,يوناني
كم عدد الأولاد الذكور للملك عبد العزيز ؟,36 ذكر
حيوان ليس له جهاز صوتي؟,الزرافة
دولة يمر فيها نهر الفرات قبل العراق ؟,سوريا
من هو مؤسس الدولة الأموية في الأندلس؟,عبد الرحمن الداخل
كم عدد الجمهوريات في الاتحاد السوفيتي قبل انهياره ؟,15 جمهورية
ما عاصمة ليبيا ؟,طرابلس
بما أهلك الله قوم نوح عليه السلام ؟,الطوفان
ما الدولة الأوروبية التي استعمرت إندونيسيا ؟,هولندا
ما عاصمة بريطانيا ؟,لندن
ما هي الدولة التي انفصلت عنها بنغلادش عام1971 ؟,باكستان
من البطل الذي استشهد بمعركة ميسلون ؟,يوسف العظمة
ما عاصمة جزيرة هوكايدا اليابانية ؟,سابورو
من هو مؤلف كتاب التهافت التهافت ؟,ابن رشد
ما عاصمة مدغشقر ؟,انتاناناريفو
ما اسم زي الرجال في السنغال ؟,البوبو
كم خلية في جسم الإنسان ؟,ملايين الخلايا
في أي مدينة ولد السيد المسيح ؟,في بيت لحم
ما أشهر جوائز العالم ؟,جوائز نوبل
كم عدد الدول التي لها حق الفيتو في العالم ؟,5 دول
ما عاصمة الشيشان ؟,غروزني
متى اغتيل المهاتما غاندي ؟,1948
من الديانات المهمة في اليابان ومعناها الطريق إلى الآلهة ؟,الشنتو
كم حرب عالمية حدثت حتى الآن ؟,حربان
ما عاصمة جزر القمر ؟,موروني
من أين نحصل على طبق الكاري ؟,من الهند
حيوان يستخرج منه العنبر ؟,الحوت
في أي بلد نشأت رياضة الجودو ؟,الصـيـن
آية قرآنية توجد بها جميع الحروف الأبجدية ؟,آخر آية من سورة الفتح
سورة سميت بسورة القتال ؟,سورة محمد صلى الله عليه وسلم
سورة سميت بسورة التنزيل ؟,سورة الزمر
سورة سميت بسورة الصدّيق ؟,سورة يوسف عليه السلام
كم يستغرق وصول ضوء الشمس إلى الأرض ؟,ثمان دقائق وثلاث ثوان
من الذي أطلق على مصر أنها أرض الكنانة ؟,عمرو بن العاص
ما اسم أول دولة عربية عرفت الصحافة ؟,مصر
من أول من وضع علم الجبر ؟,جابر بن حيان
من الذي لقب بأمير الشعراء ؟,أحمد شوقي
من هي التي لقبت بالخنساء ؟,تماضر بنت عمرو بنت الرشيد
في أي سنة أقيمت أول بطولة لكرة القدم في العالم؟,عام 1930
كم عدد أجزاء القرآن الكريم ؟,30 جزء
من الذي ابتكر اسم الأمم المتحدة ؟,روزفلت
من أول من رسم أول خريطة في العالم ؟,الإدريسي
ما أكبر دولة لإنتاج النفط في العالم ؟,السعودية
كم عدد الدول العربية في العالم ؟,22 دولة
ما الدولة الأوروبية التي استعمرت إرتريا وليبيا والصومال ؟,إيطاليا
من الذي كان أول حاكم للأندلس ؟,موسى بن نصير
متى وقع زلزال الأصنام شمال غرب الجزائر ؟,عام 1980
ما هي عاصمة الإمارات,أبو ظبي
ما الدولة التي استعمرت لبنان وسوريا والجزائر ؟,فرنسا
ما عاصمة البحرين ؟,المنامة
من الذي أسس جامع الأزهر في القاهرة؟,جوهر الصقلي
ما معنى كلمة ريال باللغة الإسبانية ؟,ملكي
في أي مدينة يوجد المسجد النبوي الشريف ؟,في المدينة المنورة
من الذي رسم لوحة الموناليزا ؟,ليوناردو دافنشي
من النبي الذي لم يكن له أب فقط ؟,سيدنا عيسى عليه وسلم
من النبي الذي لقب بصاحب الحوت ؟,سيدنا يونس عليه السلام
من النبي الذي عرف منذ صغره بالجمال ؟,سيدنا يوسف عليه السلام
ما البلد الذي ورد ذكره في القرآن الكريم لفظا ؟,مصر
ما الإسم الحقيقي لنبي الله إسرائيل عليه السلام ؟,سيدنا يعقوب عليه السلام
كم سنة يساوي العقد ؟,10 سنوات
ما الدولة التي استعمرت الهند ومصر والسودان ؟,بريطانيا
من الرئيس الأمريكي الذي أرغم على تقديم استقالته قبل انتهاء ولايته ؟,نيكسون
في أي عام تم تتويج الملكة إليزابيت ملكة على المملكة المتحدة ؟,عام 1953
ماذا يسمى صوت الجرس ؟,رنين
ما الذي يعتمد عليه التقويم الهجري ؟,القمر
ما الجزء الذي يسمى المح من البيضة ؟,الصفار
ما اسم الممر الذي يصل البحر الأبيض بالمتوسط ؟,قناة السويس
كم عدد الصحابة المبشرون بالجنة ؟,10 أصحاب
متى استقلت الكويت ؟,عام 1961
دولتان يقع بينهما مضيق جبل طارق ؟,المغرب وإسبانيا
ما اسم أكبر خليج في العالم ؟,خليج المكسيك
دولة عربية حكمها جعفر النميري ؟,السودان
شهر هجري أنزل فيه القرآن ؟,شهر رمضان
ما الإسم الذي تعرف به مدينة إسطنبول ؟,القسطنطينية
متى وقع زلزال أغادير في المغرب ؟,عام 1960
ما هي عملة فرنسا ؟,الفرنك
أين تقع مدينة سوسة ؟,تقع في ليبيا وفي تونس
ما الإسم الذي اشتهر به جنود الجيش الثامن البريطاني خلا ل الحرب العالمية الثانية ؟,فئران الصحراء
قارة تعرف بالقارة السمراء ؟,أفريقيا
كم يستغرق زمن مباراة كرة القدم ؟,ساعة ونصف
ما السباق المعروف بالرالي ؟,سباق السيارات
ما عاصمة فنلندا ؟,هلسنكي
ما عاصمة ولاية تكساس الأمريكية ؟,أوستن
ما اسم ذكر الأرنب ؟,الخزر
من الذي قتل سيدنا عمر بن الخطاب ؟,أبو لؤلؤة المجوسي
في أي مدينة أمريكية وقع ميثاق الأمم المتحدة ؟,تالاهاسي
من النبي الذي دعا ربه قائلا رب نجني وأهلي مما يعملون ؟,سيدنا لوط عليه السلام
كم عدد الفقرات في رقبة الزرافة ؟,سبع فقرات
ما اسم أول مؤذن في الإسلام ؟,بلال بن رباح
من أي صنف التي تنتمي إليه السلاحف ؟,الزواحف
أين حطت المركبة الفضائية الأمريكية أبولو 11 في عام 1969 ؟,سطح القمر
ماذا تعني الحروف (d N A) بالعربي ؟,الحمض النووي منزوع الأكسجين
في أي مدينة يقع المسجد الإبراهيمي الشريف ؟,في مدينة الخليل بفلسطين
من الذي وضع نظام الهندسة المسطحة ؟,إقليدس
من هو الخليفة العباسي الثامن الذي تزوج 8 مرات وله 8 أولاد وحكم 8 سنوات ؟,المعتصم بالله
ما الإسم الحقيقي لبيليه نجم الكرة البرازيلي ؟,أديسون أريتس
من الذي اكتشف نهر الأمازون ؟,أمريغو فيسبوتشي
متى اكتشف نهر الأمازون ؟,عام 1499
إحدى بنات الرسول صلى الله عليه وسلم وتلقب بالزهراء ؟,السيدة فاطمة
ما درجة غليان الماء بالفهرنهايت ؟,212 درجة
ما درجة تجمد الماء بالفهرنهايت ؟,32 درجة
كم ملكة لخلية النحل الواحدة ؟,ملكة واحدة فقط
زعيم عربي مغربي ثار ضد الأسبان عام 1919 ؟,عبد الكريم الخطابي
ولاية أمريكية عاصمتها أولومبيا ؟,واشنطن
قرص شفاف يشكل الجزء الخارجي للعين ؟,القرنية
ما عاصمة قرغيزستان؟,بشكيك
أين أسست الدولة الفاطمية ؟,تونس
كم زوجة تزوج الملك البريطاني هنري الثامن ؟,6 زوجات
ما عاصمة منغوليا ؟,أولا باتور
كم عدد الدول العربية التي عملتها الريال في شبه الجزيرة العربية ؟,4 دول
ما الولاية الأمريكية التي عاصمتها فرانكفورت ؟,كنتاكي
مدينة سورية ومنطقة في الكويت لهما نفس الإسم ؟,تدمر
من هو مخرج ثلاثية الكاتب نجيب محفوظ ؟,حسن الإمام
كم دولة عربية عملتها الدينار في أفريقيا ؟,4 دول
من الخليفة العباسي الذي لقب بالمقتدر بالله ؟,جعفر بن أحمد
ما أصل كلمة فساتين ؟,فارسي
من الذي تولى رئاسة سوريا بعد جمال عبد الناصر ؟,ناظم القدسي
كم مرة وردت (فبأي آلاء ربكما تكذبان ) في سورة الرحمن ؟,31 مرة
ما عاصمة إيطاليا ؟,روما
ما ذا يسمى صغير الفرس ؟,مهر
ما الدولة المنتجة لسيارات الفولفو ؟,السويد
من الفرعون الذي قام ببناء تمثال أبو الهول في مصر ؟,الفرعون خفرع
ما عاصمة العراق ؟,بغداد
كم ضلعا لشبه المنحرف ؟,4 أضلاع
ماذا تسمى أنثى الحمار ؟,الأتان
متى كانت أول حملة صليبية على القدس ؟,عام 1099 م
ما عاصمة سلطنة عمان ؟,مسقط
كم دولة عربية يمر فيها نهر الفرات ؟,دولتان
في أي يوم يتشاجر النمل الأبيض مع النمل الأسود ويتشاجر النمل الأخضر مع البني للحصول على رحيق الزهر الأحمر والأبيض ؟,يوم 3 ربيع الأول
كم عدد أيام السنة على كوكب عطارد ؟,88 يوم
من الذي اخترع السماعة التي تستعمل في الطب ؟,رينيه لاينيك
من الذي ابتكر شخصية طرزان ؟,ادغار بوروز
ما العملة الرئيسية لسوريا ؟,الليرة
كم عدد الدول العربية التي لها نفس اسم عاصمتها ؟,4 دول
من الخليفة الراشدي الذي مات ولم يقتل ؟,أبو بكر الصديق
من أول رئيس لإندونيسيا بعد أن نالت استقلالها ؟,سو كارنو
ما اللون الذي ينتج عن تجمع ألوان الطيف السبعة ؟,اللون الأبيض
كم دولة يمر فيها نهر النيل ؟,9 دول
من هي أول شهيدة في الإسلام ؟,سمية امرأة سيدنا ياسر
ما الإسم الحقيقي للرئيس الراحل ياسر عرفات ؟,محمد رؤوف القدوة
ما الدولة الأولى في إنتاج الفضة؟,المكسيك
ما أغلى أنواع التوابل ثمنا ؟,الزعفران
أي الدول العربية التي يجري بها نهر أم الربيع ؟,المغرب
كم عدد الدول العربية التي عملتها الدينار ؟,8 دول
كم عدد الكويكبات ما بين المريخ والمشتري؟,حوالي 1500 كويكب
كم نسبة الماء على سطح الأرض نسبة لليابس ؟,71%
كم نسبة اليابس على سطح الأرض نسبة للماء ؟,29%
ما أطول الحروب في العالم ؟,حرب فرنسا وبريطانيا استمرت 100 عام
الحوت .هل يبيض أم يلد؟,يلد.
ماذا يسمى صوت الماء؟,خرير.
 كم عدد كلمات سورة الفاتحة؟ وكم عدد حروفها؟,19كلمة/ 124 حرف (على رواية قالون عن نافع )
 ما المعجزة الكبرى محمد بن عبد الله.صلى الله عليه وسلم ؟,القرآن الكريم
 أيهما أطول السنة الشمسية أم القمرية؟,السنة الشمسية.
 بيت النمل اسمه:قرية- خلية- وكر؟,قرية.
ما أشهر قبيلتين في المدينة المنورة؟,الأوس والخزرج .
 ما أول الناس إسلاماً من الرجال- النساء-الأطفال؟,من الرجال أبو بكر الصديق-من النساء خديجة بنت خويلد- من الأطفال على بن أبى طالب .
 ما إسم صغير الدجاج؟,كتكوت
 ما أكبر مدينة في الوطن العربى سكانا ؟,القاهرة.
 ماذا تسمى الفتحة الموجودة أعلى المعدة ؟,الفؤاد.
 ماذا يسمى صوت الثعبان ؟,فحيح.
 آي سورة في القرآن الكريم لا يوجد فيها حرف الميم؟,سورة الكوثر.
 من نام في فراش النبي ليلة الهجرة؟,علي بن أبى طالب.
 ما القارة التي تضم نصف سكان العالم؟,قارة آسيا.
 كم عدد ضربات القلب في الدقيقة؟,72-80 ضربة في الدقيقة.
 آيهما اكثر ليونة الذهب آم الفضة؟,الذهب.
 ما اصلب أنواع الحجارة؟,الجرافيت.
 من سيد الشهداء في أحد؟,حمزة بن عبد المطلب.
 من اصغر من قاد جيشاً إسلامياً؟,أسامة بن زيد.
 كم بسملة(بسم الله الرحمان الرحيم) في القرآن الكريم؟,114 بسملة.
 ما هي السورة التي تعادل قراءتها ثلث القرآن؟,سورة الإخلاص.
 من صاحب سر رسول الله صلى الله عليه وسلم في المنافقين؟,حذيفة بن اليمان
 كل الإمارات العربية المتحدة على الخليج العربى إلا واحدة فما هي؟,أم القبوين.
 ما المعجزة التي جاء بها النبي الصالح إلى قومه؟,معجزة الناقة.
 ما عدد المصاحف التي كتبت في عهد عثمان بن عفان؟,14 مصحف تقريباً.
 كم كان سن الرسول حين بعث؟,40 سنة.
 هل في القرآن آية تتألف من كلمة واحدة؟وفي أي سورة؟,مدهامتآن-سورة الرحمن.
 ما الأبيضان؟ وما الأصفران؟,الأبيضان هما السكر والملح-الأصفران هما الذهب و النحاس.
 ما عدد أجنحة البرغوث؟,لا يوجد أجنحة بل يمشي قفزاً.
 ما الاسم القديم للمحيط الأطلسى؟,بحر الظلمات.
 ما إسم الخنساء؟,تماضر بنت عمرو.
 ما أطول خلايا الجسم عمراً؟,الدماغ.
ما الذهب الأبيض؟,القطن
الذهب الأسود؟,البترول
الذهب الصفر؟,الذهب
 ما مسافة السفر المبيحة للفطر في رمضان؟,82 كم.
 أين يقع قبر صلاح الدين الأيوبى؟,دمشق.
 أيهما أسرع انتشارا الصوت أم الضوء؟,الضوء.
 ما اسم النهر الذى يربط سورية بلبنان؟,نهر العاصى.
 ماذا يسمى صوت البوم؟,نعيق
ماذا يسمى صوت الغراب؟,نعيق
كم أقام النبى بمكة بعد البعثة؟,أقام بمكة 12 عاما
كم أقام بالمدينة؟,أقام بالمدينة 11 عاماً
 من أم النبى إسماعيل عليه السلام؟,هاجر عليها السلام.
 امرأتان ضرب الله بهما مثلاً للذين آمنوا. من هما؟,امرأة فرعون- السيدة مريم عليها السلام.
 لماذا سميت عاصمة ليبيا طرابلس الغرب؟,لقربها من طرابلس الشام.
 من هو اكثر الناس إيذاء للرسول(ص)؟,عقبة بن معيط-أبو لهب-أبو جهل-عبد الله بن أُبي
 نبي تكلم وهو في المهد؟,سيدنا عيسى عليه السلام؟
 من هو قائد معركة عين جالوت؟,سيف الدين قطز
 ما أكبر البحيرات في قارة أفريقيا؟,فيكتوريا.
 ما هي أقوى عضلة في جسم الإنسان؟,القلب وتعمل بمتوسط عمر الإنسان 70 سنة تقريبا ً.
ما هو أذكى حيوان في العالم ؟,الدلفين
من التي لقبت على زمن رسول الله بآكلة الأكباد ؟,هند بنت عتبة
لماذا لا يعيش السمك في البحر الميت ؟,لأنه شديد الملوحة
ما أقرب الكواكب إلى الشمس ؟,عطارد
ما أبعد الكواكب عن الشمس ؟,بلوتو
إلى أي جهة يشير النجم القطبي ؟,إلى الشمال
كم عدد خطوط الطول ؟,360 خط
كم عدد دوائر العرض ؟,180 دائرة
كم قمرا تابعا للأرض ؟,قمر واحد
من أول من نزل على سطح الأرض من البشر ؟,سيدنا آدم وحواء
ما عاصمة ولاية ألاسكا ؟,جونو
 دولة كان اسمها العفار والعيسى ؟,جيبوتي
ما العاصمة العربية التي فتحها بطليموس الثاني وسماها فيلادلفيا ؟,عمان
صحابية سميتبذات النطاقين ؟,أسماء بنت أبي بكر
من أول رئيس أمريكي صار ابنه رئيس للولايات المتحدة ؟,جون آدمز
 ما هو العسجد؟,الذهب
 ما المادة الرئيسة التي يحتويها معجون الأسنان ؟,الفلوريد
من هو الذي كان يؤذي الرسول صلى الله عليه وسلم فذمه الله في القرآن ؟,أبو لهب
ما العاصمة العربية التي سميت بالمثلثة ؟,الخرطوم
